Drug,Brand name,Species,Use,Notes,Source URL
Adventure Plus for Dogs (55 lbs and over),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","STORAGE AND DISPOSAL: Do not contaminate water, food or feed by storage or disposal. Pesticide storage: Store in a cool, dry place inaccessible to children and pets. Pesticide Disposal and Container Handling: Nonrefillable container. If empty: Do not reuse or refill this container. Place in trash or offer for recycling if available. If partly filled: Call your local solid waste agency or 1-800-422-9874 for disposal instructions. Never place unused product down any indoor or outdoor drain.",https://www.drugs.com/vet/adventure-plus-for-dogs-55-lbs-and-over.html
Advita CritterCups Probiotic Treat (Large Dog),,"Dog, Cat","used to conceal medicinal odors and taste when administering medication. Ideal size fits most tablets and capsules prescribed by a veterinarian. BENEFITS: ● Guaranteed amounts of four different live, ",,https://www.drugs.com/vet/advita-crittercups-probiotic-treat-large-dog.html
Advita CritterCups Probiotic Treat (Small & Medium Dog),,"Dog, Cat","used to conceal medicinal odors and taste when administering medication. Ideal size fits most tablets and capsules prescribed by a veterinarian. BENEFITS: ● Guaranteed amounts of four different live, ",,https://www.drugs.com/vet/advita-crittercups-probiotic-treat-small-medium-dog.html
Advita Powder for Dogs,,"Dog, Cat, Poultry","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advita-powder-for-dogs.html
"AErrane (isoflurane, USP) (Canada)",,"Dog, Cat, Horse, Pig, Rabbit","used to achieve greater relaxation, it should be noted that: ALL COMMONLY USED MUSCLE RELAXANTS ARE MARKEDLY POTENTIATED WITH ISOFLURANE, THE EFFECT BEING MOST PROFOUND WITH THE NONDEPOLARIZING TYPE. ","Hypotension, respiratory depression, and arrhythmias have been reported.",https://www.drugs.com/vet/aerrane-isoflurane-usp-can.html
After Shave,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/after-shave.html
Agri-Lube,,"Dog, Cat, Horse, Cattle, Sheep","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/agri-lube.html
Airx 44 ACE,,"Dog, Cat, Horse, Cattle","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/airx-44-ace.html
Airx 66,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/airx-66.html
Airx 75,,"Dog, Cat, Horse, Cattle","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/airx-75.html
Airx 78 Plus,,"Dog, Cat, Horse, Cattle","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/airx-78-plus.html
Albon Oral Suspension 5%,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/albon-oral-suspension-5.html
Albon Tablets,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/albon-tablets.html
Alenza Aging Support,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",12.7 oz (360 g) / 60 soft chews,https://www.drugs.com/vet/alenza-aging-support.html
Alfaxan Multidose,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Rapid arousal: Careful monitoring of the patient is necessary due to possibility of rapid arousal.,https://www.drugs.com/vet/alfaxan-multidose.html
Alfaxan Multidose (Canada),,"Dog, Cat, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","In dogs , respiratory depression (apnea and bradypnea) can be very common, while hypoxia can be common. Cardiovascular effects (either increased or decreased heart rate, and increased or decreased blood pressure) can be very common.",https://www.drugs.com/vet/alfaxan-multidose-can.html
All Purpose Lubricant,,"Dog, Cat, Horse, Cattle, Sheep","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/all-purpose-lubricant.html
All-In-One Soft Chews for Dogs (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/all-in-one-soft-chews-for-dogs-can.html
Allerderm Foaming Cleanser,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/allerderm-foaming-cleanser.html
ALLERDERM Foaming Cleanser (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/allerderm-foaming-cleanser-can.html
Allergy CZN,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/allergy-czn.html
Allergy Hot Spot Foam For Dogs & Cats,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/allergy-hot-spot-foam-for-dogs-cats.html
Allergy Skin & Coat Soft Chews For Dogs & Cats,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Due to the tasty nature of our products, do not leave package unattended around pets.",https://www.drugs.com/vet/allergy-skin-coat-soft-chews-for-dogs-cats.html
Allermyl (piroctone olamine) Shampoo,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/allermyl-piroctone-olamine-shampoo.html
Allermyl (piroctone olamine) Shampoo (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/allermyl-piroctone-olamine-shampoo-can.html
Allerpet Dog Dander Remover,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/allerpet-dog-dander-remover.html
Allerpet Dog Dander Remover (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/allerpet-dog-dander-remover-can.html
Allerpet Pet Dander Remover,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/allerpet-pet-dander-remover.html
Allerpet Pet Dander Remover (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/allerpet-pet-dander-remover-can.html
Alloxate (meloxicam) 5 mg/mL Solution for Injection for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Dogs: A field study involving 224 dogs was conducted. Based on the results of this study, GI abnormalities (vomiting, soft stools, diarrhea, and inappetance) were the most common adverse reactions associated with the administration of meloxicam. The following table lists adverse reactions and the numbers of dogs that experienced them during the study. Dogs may have experienced more than one episode of the adverse reaction during the study.",https://www.drugs.com/vet/alloxate-meloxicam-5-mg-ml-solution-for-injection-for-dogs.html
Aloe & Oatmeal Cleansing Wipes,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloe-oatmeal-cleansing-wipes.html
Aloe & Oatmeal Conditioner,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloe-oatmeal-conditioner.html
Aloe Oatmeal Shampoo,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",AVAILABLE THROUGH LICENSED VETERINARIANS ONLY,https://www.drugs.com/vet/aloe-oatmeal-shampoo.html
Aloe & Oatmeal Shampoo and Conditioner,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloe-oatmeal-shampoo-and-conditioner.html
Aloe & Oatmeal Skin & Coat Conditioner,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloe-oatmeal-skin-coat-conditioner.html
Aloe & Oatmeal Soothing Shampoo,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloe-oatmeal-soothing-shampoo.html
Aloe Advantage Citronella Shampoo,,"Dog, Cat, Horse, Cattle, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloe-advantage-citronella-shampoo.html
Aloe Advantage Concentrated Shampoo,,"Dog, Cat, Horse, Cattle, Sheep, Goat, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloe-advantage-concentrated-shampoo.html
Aloe Heal,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloe-heal.html
Aloe vera otic cleanser,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",For topical use only. Avoid contact with eyes.,https://www.drugs.com/vet/aloe-vera-otic-cleanser.html
Aloedine Medicated Shampoo,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloedine-medicated-shampoo.html
Alu-Mend Spray,,"Dog, Cat, Horse, Cattle, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/alu-mend-spray.html
Aluminum Bandage Spray,,"Dog, Cat, Horse, Cattle, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aluminum-bandage-spray.html
AluShield,,"Dog, Cat, Horse, Cattle, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/alushield.html
AluSpray,,"Dog, Cat, Horse, Cattle, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Avoid spraying in animal’s eyes.,https://www.drugs.com/vet/aluspray.html
Aluspray (Canada),,"Dog, Cat, Horse, Cattle, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",This product is not for use on open wounds. Avoid spraying in the animal’s eyes.,https://www.drugs.com/vet/aluspray-can.html
Alvedia Canine BT (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/alvedia-canine-bt-can.html
Alvedia Canine Easy Quick Test DAT (Canada),,"Dog, Cat",used to indicate the presence of auto-immune antibodies. The canine Direct Antiglobulin Test (DAT) aims to detect the presence of immunoglobulins and/or C3 components on the surface of patient’s red b,,https://www.drugs.com/vet/alvedia-canine-easy-quick-test-dat-can.html
Alvedia Canine Easy Quick Test DAT (Coombs),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/alvedia-canine-easy-quick-test-dat-coombs.html
Alvedia Canine LabTest Blood Typing (BT) DEA 1,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/alvedia-canine-labtest-blood-typing-bt-dea-1.html
Alvedia Canine LabTest DAT (Coombs),,"Dog, Cat",USED TO INDICATE THE PRESENCE OF AUTO-IMMUNE ANTIBODIES. LAB TEST DAT MATERIAL 1 BOX OF LABTEST DAT CONTAINS: - 1 TUBE WITH 10 MEMBRANES (1 MEMBRANE = 1 DAT) - 1 DAT BUFFER - 10 RESULTS FORMS ADDITION,,https://www.drugs.com/vet/alvedia-canine-labtest-dat-coombs.html
Alvedia Canine LabTest XM (Crossmatch),,"Dog, Cat",USED TO INDICATE THE PRESENCE OF ALLO ANTIBODIES IN PRE-TRANSFUSION COMPATIBILITY TESTING. THIS TEST ALSO ALLOWS TO DETECT CIRCULATING AUTO ANTIBODIES IN THE RECIPIENT. LAB TEST XM SCIENTIFIC DATA CLI,,https://www.drugs.com/vet/alvedia-canine-labtest-xm-crossmatch.html
Alvedia Canine Quick Test Blood Typing (BT) DEA 1,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/alvedia-canine-quick-test-blood-typing-bt-dea-1.html
Alvedia Canine Quick Test DEA 1.1,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/alvedia-canine-quick-test-dea-1-1.html
Alvedia Canine Quick Test XM (Crossmatch),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/alvedia-canine-quick-test-xm-crossmatch.html
Alvedia Canine XM (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/alvedia-canine-xm-can.html
Alvedia Lab Test,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/alvedia-lab-test.html
Alvedia Lab Test Canine XM,,"Dog, Cat",USED TO INDICATE THE PRESENCE OF ALLO ANTIBODIES IN PRE-TRANSFUSION COMPATIBILITY TESTING. THIS TEST ALSO ALLOWS TO DETECT CIRCULATING AUTO ANTIBODIES IN THE RECIPIENT. LAB TEST XM SCIENTIFIC DATA CLI,,https://www.drugs.com/vet/alvedia-lab-test-canine-xm.html
AmiJect D,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","In clinical studies in dogs, transient pain on injection has been reported as well as rare cases of vomiting or diarrhea following amikacin therapy. In 90 day intramuscular toxicology studies, evidence of muscle damage was detected histologically as well as by elevated creatinine phosphokinase.",https://www.drugs.com/vet/amiject-d.html
Amilextin,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Not for human consumption. Keep out of the reach of children and animals.,https://www.drugs.com/vet/amilextin.html
AminAmend for Cats & Small Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","For animal use only. Keep out of the reach of children and animals. In case of accidental overdose, contact a health professional immediately.",https://www.drugs.com/vet/aminamend-for-cats-small-dogs.html
AminAmend for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","For animal use only. Keep out of the reach of children and animals. In case of accidental overdose, contact a health professional immediately.",https://www.drugs.com/vet/aminamend-for-dogs.html
AminAvast 1000 mg,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","For animal use only. Keep out of the reach of children and animals. In case of accidental overdose, contact a health professional immediately.",https://www.drugs.com/vet/aminavast-1000-mg.html
Amino B-Plex,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",For animal use only.,https://www.drugs.com/vet/amino-b-plex.html
Amino B-Plex (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Keep out of reach of children.,https://www.drugs.com/vet/amino-b-plex-can.html
Amino Plus Vit. B Complex (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/amino-plus-vit-b-complex-can.html
Amoxi-Drop,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Dogs: The recommended dosage is 5 mg/lb of body weight. Administer twice daily for 5-7 days. Continue for 48 hours after all symptoms have subsided.,https://www.drugs.com/vet/amoxi-drop.html
Amoxi-Tabs (Dogs),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Dogs: The recommended dosage is 5 mg/lb of body weight twice a day.,https://www.drugs.com/vet/amoxi-tabs-dogs.html
Amoxicillin and Clavulanate Potassium for Oral Suspension Drops,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Amoxicillin and Clavulanate Potassium for Oral Suspension contains a semisynthetic penicillin (amoxicillin) and has the potential for producing allergic reactions.,https://www.drugs.com/vet/amoxicillin-and-clavulanate-potassium-for-oral-suspension-drops.html
Amoxicillin and Clavulanate Potassium Tablets,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Post-Approval Experience (July, 2017):",https://www.drugs.com/vet/amoxicillin-and-clavulanate-potassium-tablets.html
Amoxil Tablets (100 mg) (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Zoetis Canada Inc., Kirkland QC H9H 4M7",https://www.drugs.com/vet/amoxil-tablets-100-mg-can.html
Ampicillin For Injectable Suspension,,"Dog, Cat, Cattle","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","In vitro studies have demonstrated sensitivity of the following organisms to ampicillin: gram-positive bacteria - alpha- and beta-hemolytic streptococci, staphylococci (non-penicillinase-producing), Bacillus anthracis and most strains of enterococci and clostridia; gram-negative bacteria - Proteus mirabilis, E. coli and many strains of Salmonella and Pasteurella multocida .",https://www.drugs.com/vet/ampicillin-for-injectable-suspension.html
"Anigen Rapid Canine Parvovirus Antigen Test Kit, Blot Test",,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/anigen-rapid-canine-parvovirus-antigen-test-kit-blot-test.html
"Anigen Rapid Canine Parvovirus Antigen Test Kit, Blot Test (Canada)",,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/anigen-rapid-canine-parvovirus-antigen-test-kit-blot-test-can.html
Anigen Rapid Heartworm Antigen Test Kit,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/anigen-rapid-heartworm-antigen-test-kit.html
Anigen Rapid Heartworm Antigen Test Kit (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/anigen-rapid-heartworm-antigen-test-kit-can.html
Anigen Rapid One-Step Canine Heartworm Antigen Test Kit,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/anigen-rapid-one-step-canine-heartworm-antigen-test-kit.html
AnimaCare Behaviour (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/animacare-behaviour-can.html
AnimaCare Bone & Joints (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/animacare-bone-joints-can.html
AnimaCare Detox Cleansing (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/animacare-detox-cleansing-can.html
AnimaCare Ear (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/animacare-ear-can.html
AnimaCare Gastro (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/animacare-gastro-can.html
